customer_id,login_frequency,avg_session_time,complaints_raised,last_purchase_days_ago,total_purchases,is_churned
1,1,23.93,2,177,3,0
2,14,16.02,3,23,39,0
3,20,8.68,1,196,49,1
4,23,11.44,3,81,41,0
5,26,3.87,2,99,37,1
6,15,3.48,2,11,16,0
7,15,17.42,3,75,14,0
8,11,29.97,3,330,36,0
9,27,26.39,2,245,43,1
10,7,7.65,2,225,46,0
11,16,11.0,1,142,41,0
12,14,2.33,1,170,49,0
13,24,9.75,3,220,27,1
14,30,5.65,2,114,20,0
15,26,10.45,3,378,45,0
16,10,3.69,3,256,18,0
17,25,19.39,2,215,50,0
18,20,3.09,0,181,47,0
19,19,6.73,3,255,3,0
20,23,28.46,0,90,19,0
21,17,2.73,3,105,8,0
22,24,2.54,1,183,47,0
23,18,24.84,0,1,38,1
24,3,23.53,1,214,6,1
25,6,14.47,3,193,8,0
26,14,11.71,3,325,11,0
27,1,26.29,2,320,11,0
28,6,24.31,1,301,5,1
29,29,11.6,2,124,1,0
30,24,28.54,0,78,40,0
31,17,25.66,3,240,26,0
32,27,23.73,0,43,34,0
33,16,7.16,2,279,43,0
34,29,17.66,3,400,39,1
35,13,4.37,0,200,9,0
36,25,13.57,3,194,46,0
37,29,5.38,0,109,25,0
38,23,5.1,2,378,22,0
39,7,21.78,2,97,25,0
40,18,21.91,3,54,33,0
41,17,17.56,2,291,3,0
42,22,29.93,3,248,46,0
43,10,18.43,0,130,20,0
44,4,12.42,1,131,39,0
45,21,15.82,0,218,15,0
46,9,9.12,0,58,49,0
47,27,20.33,2,141,18,0
48,13,28.66,0,12,11,0
49,23,16.19,3,297,25,0
50,28,16.16,1,152,34,0
51,26,8.31,3,120,33,0
52,2,12.88,1,273,5,0
53,28,28.33,3,332,22,0
54,30,22.09,3,336,17,1
55,20,25.43,2,222,42,0
56,29,16.02,3,131,12,0
57,8,26.82,3,167,47,0
58,2,24.27,3,49,45,1
59,14,15.5,2,13,31,0
60,30,3.5,3,250,44,0
61,19,28.26,0,166,38,1
62,11,5.59,2,211,24,0
63,24,13.39,0,222,45,1
64,2,12.62,0,312,22,0
65,5,10.24,3,226,1,0
66,12,11.68,3,230,31,0
67,19,16.82,0,225,29,1
68,30,2.08,3,83,16,0
69,8,14.84,3,236,46,0
70,27,6.51,2,233,12,1
71,18,8.62,1,53,19,0
72,26,19.35,2,237,38,0
73,9,5.61,3,129,32,1
74,23,4.59,1,225,37,1
75,12,7.42,2,95,41,0
76,15,29.28,0,55,50,0
77,4,20.58,3,121,47,0
78,24,14.42,2,244,31,0
79,16,18.19,2,105,13,0
80,2,18.17,0,18,38,0
81,9,19.96,0,308,19,0
82,7,25.47,1,295,28,1
83,1,5.79,2,71,20,1
84,12,22.47,0,338,45,0
85,2,14.32,1,197,9,1
86,4,12.19,1,359,15,1
87,5,13.69,3,344,11,0
88,17,10.5,2,316,12,0
89,19,26.31,2,392,48,0
90,20,3.56,2,262,33,0
91,12,12.24,0,243,10,0
92,17,21.08,3,20,3,0
93,21,4.02,0,35,50,0
94,4,14.13,3,103,1,0
95,22,9.66,3,346,39,0
96,13,9.11,0,239,26,0
97,10,5.72,1,359,17,0
98,15,10.08,2,143,41,0
99,7,2.74,1,1,3,0
100,12,5.59,1,37,12,0
101,18,5.79,1,394,45,0
102,6,29.86,2,257,31,0
103,4,15.84,1,253,3,0
104,17,16.15,1,300,24,0
105,22,28.19,0,164,13,0
106,13,16.32,2,309,12,0
107,9,17.98,2,68,25,0
108,10,20.1,2,175,18,1
109,27,23.61,1,83,1,0
110,15,26.19,0,250,39,0
111,5,25.72,3,51,16,0
112,7,28.19,3,74,40,0
113,15,26.0,3,390,15,0
114,25,12.02,3,230,30,1
115,1,7.44,3,317,4,0
116,7,24.89,0,379,28,0
117,3,16.2,0,191,18,0
118,3,4.21,1,5,42,0
119,3,3.59,0,102,8,1
120,17,17.25,2,80,24,0
121,30,29.8,0,310,42,0
122,7,28.7,1,41,14,0
123,16,22.37,2,317,4,0
124,26,3.06,3,92,7,0
125,6,13.65,1,346,46,1
126,1,7.71,2,388,44,0
127,4,16.84,2,71,42,0
128,28,29.21,2,90,32,1
129,9,2.9,3,388,49,0
130,1,18.71,1,347,34,0
131,18,2.68,0,326,44,0
132,1,11.61,0,156,28,0
133,2,20.92,0,329,17,0
134,8,11.42,2,352,47,0
135,21,16.77,3,394,11,0
136,5,18.2,0,86,41,0
137,30,23.38,2,160,29,0
138,21,15.71,1,60,29,1
139,18,17.03,0,237,50,0
140,19,26.01,1,44,15,0
141,23,3.04,3,222,29,0
142,3,22.64,3,388,18,0
143,28,28.39,0,383,20,0
144,20,23.0,3,12,5,0
145,28,22.32,1,25,48,0
146,13,8.95,0,50,35,0
147,13,12.1,3,9,4,0
148,1,14.96,0,57,10,0
149,9,5.69,1,136,34,0
150,27,3.78,0,157,33,0
151,9,25.14,3,385,29,1
152,16,28.79,1,46,44,0
153,14,2.48,0,296,39,0
154,19,21.55,0,290,28,0
155,6,12.53,2,384,38,0
156,7,27.07,1,224,23,1
157,20,25.33,2,134,32,0
158,24,15.93,3,379,5,0
159,25,3.17,3,84,28,0
160,3,12.18,2,169,15,0
161,30,7.24,3,328,40,0
162,25,8.53,2,211,45,0
163,10,28.28,0,41,4,1
164,3,29.93,2,174,44,0
165,20,28.62,1,37,49,0
166,8,25.85,3,296,48,0
167,14,22.46,3,243,10,0
168,28,7.64,1,202,5,0
169,1,23.77,0,357,10,0
