message_id,customer_id,message_text,sentiment_label
1,35758,Loved it!,positive
2,26551,Can someone assist?,neutral
3,27596,Great product!,positive
4,9611,Please clarify.,neutral
5,36634,Very satisfied.,positive
6,37464,Loved it!,positive
7,5245,Very satisfied.,positive
8,30527,Great product!,positive
9,45295,How do I return this?,neutral
10,35990,Terrible experience.,negative
11,13315,Disappointed.,negative
12,24750,Very satisfied.,positive
13,6929,Not working!,negative
14,47194,Great product!,positive
15,34439,Great product!,positive
16,41103,Very satisfied.,positive
17,24655,Excellent service!,positive
18,4603,Very satisfied.,positive
19,38091,Excellent service!,positive
20,1312,Please clarify.,neutral
21,15355,Great product!,positive
22,18228,Terrible experience.,negative
23,38343,Excellent service!,positive
24,20289,Disappointed.,negative
25,43934,Not working!,negative
26,9218,Terrible experience.,negative
27,42322,Very satisfied.,positive
28,39709,Can someone assist?,neutral
29,17387,Can someone assist?,neutral
30,26682,Please clarify.,neutral
31,21003,Can someone assist?,neutral
32,12014,Please clarify.,neutral
33,9619,Loved it!,positive
34,25985,Great product!,positive
35,27500,Great product!,positive
36,2335,Terrible experience.,negative
37,48432,Disappointed.,negative
38,33692,Excellent service!,positive
39,46548,Not working!,negative
40,19023,Terrible experience.,negative
41,28732,Loved it!,positive
42,38671,How do I return this?,neutral
43,9081,Excellent service!,positive
44,4274,Very satisfied.,positive
45,6630,Not working!,negative
46,31934,Terrible experience.,negative
47,49391,Never buying again.,negative
48,1030,Excellent service!,positive
49,6482,Great product!,positive
50,20134,Never buying again.,negative
51,17140,Disappointed.,negative
52,33326,Loved it!,positive
53,8509,Please clarify.,neutral
54,26476,Great product!,positive
55,42149,Very satisfied.,positive
56,3562,Terrible experience.,negative
57,33097,Excellent service!,positive
58,31659,Very satisfied.,positive
59,19858,Can someone assist?,neutral
60,2367,Terrible experience.,negative
61,12892,Great product!,positive
62,39789,Very satisfied.,positive
63,24159,Need help.,neutral
64,9267,Terrible experience.,negative
65,44072,Great product!,positive
66,29606,Very satisfied.,positive
67,45378,Very satisfied.,positive
68,4420,Very satisfied.,positive
69,2706,Disappointed.,negative
70,33382,Great product!,positive
71,3926,Not working!,negative
72,11360,Loved it!,positive
73,29959,Very satisfied.,positive
