user_id,product_id,product_name,category,purchase_date,rating
119,109,Sneakers,Footwear,2025-03-20,1
48033,108,LED Monitor,Electronics,2025-06-01,3
41729,109,Sneakers,Footwear,2025-03-20,1
13062,106,Yoga Mat,Fitness,2023-10-07,5
25290,110,Smartphone,Electronics,2023-11-24,4
14987,108,LED Monitor,Electronics,2024-07-23,4
39702,103,Office Chair,Furniture,2025-04-02,3
3813,103,Office Chair,Furniture,2024-04-02,1
16636,110,Smartphone,Electronics,2023-07-17,3
34777,106,Yoga Mat,Fitness,2024-02-10,3
3930,103,Office Chair,Furniture,2024-07-02,2
32303,110,Smartphone,Electronics,2023-12-28,2
39728,106,Yoga Mat,Fitness,2024-02-01,5
1757,109,Sneakers,Footwear,2024-03-31,5
34971,104,Noise Cancelling Headphones,Electronics,2025-05-16,3
14490,108,LED Monitor,Electronics,2023-10-21,4
5775,105,Cookware Set,Home & Kitchen,2023-08-24,1
36107,105,Cookware Set,Home & Kitchen,2024-04-04,1
12870,107,Bookshelf,Furniture,2025-02-16,2
6007,107,Bookshelf,Furniture,2025-05-02,3
40475,105,Cookware Set,Home & Kitchen,2023-07-19,3
3403,102,Gaming Keyboard,Electronics,2024-07-01,1
22110,105,Cookware Set,Home & Kitchen,2025-04-09,5
29763,106,Yoga Mat,Fitness,2024-04-17,4
14672,108,LED Monitor,Electronics,2024-09-05,3
29737,104,Noise Cancelling Headphones,Electronics,2024-08-13,2
13105,104,Noise Cancelling Headphones,Electronics,2024-02-21,3
27296,108,LED Monitor,Electronics,2025-02-03,5
20542,106,Yoga Mat,Fitness,2024-05-24,4
26615,104,Noise Cancelling Headphones,Electronics,2024-10-22,2
8601,101,Wireless Mouse,Electronics,2023-10-12,3
10658,103,Office Chair,Furniture,2024-05-03,3
15220,106,Yoga Mat,Fitness,2025-05-15,2
43236,110,Smartphone,Electronics,2024-07-10,3
34854,107,Bookshelf,Furniture,2023-11-14,5
48219,104,Noise Cancelling Headphones,Electronics,2023-06-21,3
23526,106,Yoga Mat,Fitness,2023-10-21,3
2946,106,Yoga Mat,Fitness,2025-02-06,4
27388,109,Sneakers,Footwear,2023-10-17,1
624,102,Gaming Keyboard,Electronics,2024-09-02,1
37137,110,Smartphone,Electronics,2024-03-04,3
44193,110,Smartphone,Electronics,2024-01-09,1
6079,109,Sneakers,Footwear,2024-01-11,2
8108,109,Sneakers,Footwear,2023-11-03,1
28030,106,Yoga Mat,Fitness,2024-01-22,5
5131,110,Smartphone,Electronics,2023-09-22,5
13199,106,Yoga Mat,Fitness,2023-06-05,1
43167,106,Yoga Mat,Fitness,2023-09-06,1
24698,110,Smartphone,Electronics,2023-08-01,3
12740,104,Noise Cancelling Headphones,Electronics,2024-08-31,4
